,entryflow,exitflow,transferflow,weekday,daytype,timeid,hour,dayid
583,76,54,24,5,0,73,23,7
584,13,0,0,6,0,1,5,8
585,12,4,0,6,0,2,6,8
586,34,6,4,6,0,3,6,8
587,39,92,106,6,0,4,6,8
588,55,792,219,6,0,5,6,8
589,67,1386,270,6,0,6,7,8
590,110,1960,511,6,0,7,7,8
591,153,2236,621,6,0,8,7,8
592,157,2075,927,6,0,9,7,8
593,675,2034,1311,6,0,10,8,8
594,791,1956,1306,6,0,11,8,8
595,632,2264,1745,6,0,12,8,8
596,376,2516,1411,6,0,13,8,8
597,667,2427,1128,6,0,14,9,8
598,1077,2359,1211,6,0,15,9,8
599,650,2180,1137,6,0,16,9,8
600,1791,2279,1175,6,0,17,9,8
601,684,2182,1003,6,0,18,10,8
602,2205,2436,906,6,0,19,10,8
603,2325,1996,1027,6,0,20,10,8
604,2256,1961,1032,6,0,21,10,8
605,1451,1921,935,6,0,22,11,8
606,1856,1835,898,6,0,23,11,8
607,2124,1690,1012,6,0,24,11,8
608,2310,1572,941,6,0,25,11,8
609,2768,1600,957,6,0,26,12,8
610,1571,1333,878,6,0,27,12,8
611,1190,1146,910,6,0,28,12,8
612,1338,1326,1037,6,0,29,12,8
613,908,1409,961,6,0,30,13,8
614,1989,1633,1083,6,0,31,13,8
615,1991,1481,1124,6,0,32,13,8
616,1938,1622,1072,6,0,33,13,8
617,1617,1564,1015,6,0,34,14,8
618,966,1560,1127,6,0,35,14,8
619,1698,1670,1212,6,0,36,14,8
620,1473,1713,1021,6,0,37,14,8
621,2255,1820,1070,6,0,38,15,8
622,2250,1796,938,6,0,39,15,8
623,1901,1544,1073,6,0,40,15,8
624,2145,1515,980,6,0,41,15,8
625,2207,1430,1110,6,0,42,16,8
626,1472,1491,1076,6,0,43,16,8
627,1309,1707,1259,6,0,44,16,8
628,2411,1690,1248,6,0,45,16,8
629,1805,1668,1366,6,0,46,17,8
630,2365,1739,1346,6,0,47,17,8
